"unbekannt",
"Weiß-Tanne",
"Große Küsten-Tanne",
"Europäische Lärche",
"Japanische Lärche",
"Gemeine Fichte",
"Omorika-Fichte",
"Sitka-Fichte",
"Schwarz-Kiefer",
"Weymouths-Kiefer",
"Wald-Kiefer",
"Küsten-Douglasie",
"Gewöhnliche Eibe",
"sonstige Nadelbaum-Arten",
"Feld-Ahorn",
"Spitz-Ahorn",
"Berg-Ahorn",
"Gewöhnliche Rosskastanie",
"Rot-Erle",
"Grau-Erle",
"Birken-Arten",
"Hainbuche",
"Edelkastanie",
"Rot-Buche",
"Gemeine Esche",
"Schwarznuss",
"Echte Walnuss",
"Wild-Apfel",
"Balsam-Pappeln",
"Schwarz-Pappel",
"Zitter-Pappel",
"sonstige Pappel-Arten",
"Vogel-Kirsche",
"Traubenkirsche",
"Wild-Birne",
"Trauben-Eiche",
"Stiel-Eiche",
"Rot-Eiche",
"Robinie",
"Weiden-Arten",
"Mehlbeere",
"Vogelbeere",
"Speierling",
"Elsbeere",
"Winter-Linde",
"Sommer-Linde",
"Berg-Ulme",
"Flatter-Ulme",
"Feld-Ulme",
"sonstige Laubbaum-Arten"